Name,location,stipend,company_id,skills,hiring
Bilateral Solutions Private Limited,"
Mandi, Himachal Pradesh ","₹ 10,000 - 12,000 ",4,"['JavaScript', 'AngularJS']",Actively hiring
Traqo,"
Kolkata ","₹ 15,000 - 20,000 ",5,"['Cold Calling', 'Client Relationship Management (CRM)', 'Coordination', 'Lead Generation', 'Prospecting', 'Sales', 'Effective Communication']",Actively hiring
The Agency Source,"
Delhi ","₹ 10,000 ",6,"['AutoCAD', 'Architectural Drafting', 'Generative AI Tools']",Actively hiring
Nine Tours,"
Amritsar, Punjab ","₹ 8,000 - 10,000 ",7,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Zenius,"
Jaipur ","₹ 12,000 ",8,"['Recruitment', 'Cold Calling', 'English Proficiency (Spoken)', 'Human Resource Information System (HRIS)', 'Employment engagement', 'Grievance Handling', 'Onboarding']",Actively hiring
MEJOR INFO SERVICES,"
Kolkata, Howrah ","₹ 10,000 - 20,000 ",9,"['MS-Office', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
ConversAIlabs,"
Delhi                                                                (Hybrid)
                                        


","₹ 5,000 - 8,000 ",10,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
CodeTrappers,"
Bangalore                                                                (Hybrid)
                                        


","₹ 5,000 ",11,"['PHP', 'MySQL', 'HTML 5', 'WordPress', 'CSS3']",Actively hiring
Bilateral Solutions Private Limited,"
Mandi, Himachal Pradesh ","₹ 8,000 - 10,000 ",12,"['MySQL', 'Python', 'Data Structures', 'MongoDB', 'Django', 'Machine Learning', 'REST API']",Actively hiring
Nine Tours,"
Lucknow ","₹ 8,000 - 10,000 ",13,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
ConversAIlabs,"
Delhi ","₹ 12,000 - 15,000 ",14,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Siddhatek LLC,"
Kanpur Dehat                                                                (Hybrid)
                                        


","₹ 8,000 - 15,000 ",15,"['MySQL', 'MongoDB', 'Git', 'Microsoft Azure', 'React', 'REST API', 'TypeScript']",Actively hiring
ASAP Staffing Solutions,"
Delhi ","₹ 10,000 - 22,000 ",16,"['MS-Office', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 8,000 ",17,"['MS-PowerPoint', 'MS-Excel', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 8,000 ",18,"['MS-Office', 'MS-Word', 'MS-PowerPoint', 'MS-Excel', 'Client Relationship Management (CRM)', 'Database Management System (DBMS)', 'Interpersonal skills']",Actively hiring
Smart Money Club,"
Surat                                                                (Hybrid)
                                        


","₹ 8,000 - 15,000 ",19,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 10,000 ",20,"['MS-Office', 'MS-PowerPoint', 'Networking', 'Strategy', 'Operations', 'MS-Excel', 'Interpersonal skills']",Actively hiring
Ace 360,"
Mumbai ","₹ 5,000 - 10,000 ",21,"['Creativity', 'Time Management', 'Strategy', 'Storytelling', 'Design Thinking', 'Canva', 'Research and Analytics']",Actively hiring
Kaizen Arena,"
Mumbai ","₹ 5,000 - 6,000 ",22,['MS-Excel'],Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 8,000 ",23,"['MS-Office', 'MS-Word', 'MS-PowerPoint', 'MS-Excel', 'Client Relationship Management (CRM)', 'Database Management System (DBMS)', 'Database Testing']",Actively hiring
WineGlo,"
Mumbai ","₹ 5,000 - 15,000 ",24,"['Social Media Marketing', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",Actively hiring
Rahnee,"
Mumbai                                                                (Hybrid)
                                        


","₹ 7,000 - 8,000 ",25,"['Video Editing', 'Audio Editing', 'Image Editing', 'Content Editing']",Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 8,000 ",26,"['Social Media Marketing', 'Adobe Photoshop', 'CorelDRAW', 'Adobe Illustrator', 'Video Editing', 'Adobe Premiere Pro', 'Adobe Creative Suite']",Actively hiring
Skill Shiksha Foundation,"
Mumbai ",Unpaid,27,['Networking'],Actively hiring
Manan Patodia,"
Mumbai                                                                (Hybrid)
                                        


","₹ 20,000 - 30,000 ",28,"['Content Writing', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Zero Dimensions,"
Ahmedabad ","₹ 8,000 - 12,000 ",29,"['Wireframing', 'UI & UX Design', 'Adobe XD', 'Figma']",Actively hiring
PatilKaki,"
Mumbai ","₹ 10,000 - 10,001 ",30,"['Attention to Detail', 'Time Management', 'Problem Solving', 'Coordination', 'Hospitality', 'Adaptability', 'Effective Communication']",Actively hiring
Prometteur Solutions Private Limited,"
Pune, Surat ","₹ 4,000 - 5,000 ",31,"['MS-Office', 'MS-Excel', 'English Proficiency (Spoken)']",Actively hiring
Lucid Market Research,"
Hyderabad ","₹ 5,000 - 6,000 ",32,"['Social Media Marketing', 'Content Writing', 'Search Engine Optimization (SEO)', 'Email Marketing', 'LinkedIn Marketing']",Actively hiring
SD Retail Private Limited (Sweet Dreams),"
Mumbai ","₹ 10,001 - 21,000 ",33,"['Adobe Photoshop', 'CorelDRAW', 'UI & UX Design', 'Canva']",Actively hiring
Bookmyshow,"
Mumbai ","₹ 12,500 ",34,"['Operations', 'Effective Communication']",Actively hiring
Prometteur Solutions Private Limited,"
Pune ","₹ 7,000 - 8,000 ",35,"['Social Media Marketing', 'MS-Office', 'Email Marketing', 'MS-Excel', 'English Proficiency (Spoken)']",Actively hiring
MINDLINK RESEARCH ACADEMY PVT LTD,"
Ahmedabad                                                                (Hybrid)
                                        


","₹ 8,000 - 20,000 ",36,"['HTML', 'CSS', 'JavaScript', 'React']",Actively hiring
Samiksha Mhatre,"
Navi Mumbai, Kharghar ","₹ 7,000 ",37,['Effective Communication'],Actively hiring
CATKing Educare,"
Mumbai ","₹ 5,000 - 8,000 ",38,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Adobe Creative Suite', 'UI & UX Design', 'Canva', 'Adobe Photoshop Lightroom CC']",Actively hiring
N D Savla & Associates,"
Mumbai ","₹ 8,000 - 12,000 ",39,"['Social Media Marketing', 'Canva', 'Marketing Campaigns']",Actively hiring
The Jspot Comedy Club,"
Mumbai ","₹ 6,000 - 10,000 ",0,"['Social Media Marketing', 'Facebook Marketing', 'Email Marketing', 'Canva', 'Instagram Marketing']",Actively hiring
Jaikrit Marketing And Branding Solutions LLP,"
Thane, Navi Mumbai, Kalyan, Mumbai ","₹ 7,000 - 12,000 ",1,"['Social Media Marketing', 'Project Management', 'Coordination', 'Teamwork', 'Facility Management', 'Instagram Marketing', 'YouTube Ads']",Actively hiring
Athena School Of Management,"
Mumbai ","₹ 15,000 - 15,001 ",2,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
FiftySeven,"
Mumbai                                                                (Hybrid)
                                        


","₹ 5,000 ",3,"['MS-Excel', 'Google Docs', 'Coordination', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Notion', 'Email Management']",Actively hiring
Vicinity Design Studio,"
Jaipur ","₹ 9,200 - 11,900 ",4,"['Social Media Marketing', 'Content Writing', 'Blogging', 'Presentation skills', 'Creative Writing', 'Script Writing', 'Content Marketing']",Actively hiring
Nine Tours,"
Varanasi ","₹ 3,000 ",5,"['Video Editing', 'Adobe Premiere Pro', 'Final Cut Pro', 'Videography', 'Video Making', 'Storytelling', 'English Proficiency (Spoken)']",Actively hiring
Maxleben Advisory,"
Chandigarh, Mohali, Panchkula ","₹ 15,000 - 20,000 ",6,"['Team Management', 'Client Interaction', 'MS-Excel', 'Sales Management', 'Client Relationship', 'Interpersonal skills', 'Effective Communication']",Actively hiring
AllIn Placement,"
Jamshedpur ","₹ 8,000 - 10,000 ",7,"['MS-Office', 'Multitasking', 'English Proficiency (Spoken)', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Nine Tours,"
Kolkata ","₹ 8,000 - 10,000 ",8,"['Time Management', 'English Proficiency (Spoken)', 'Spanish Proficiency(Spoken)', 'Effective Communication']",Actively hiring
10X Rise - Digital Marketing Agency In Hyderabad,"
Hyderabad ","₹ 15,000 - 20,000 ",9,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Adobe InDesign', 'Adobe After Effects', 'Canva', 'Figma']",Actively hiring
Bizknowmics,"
Chennai ","₹ 15,000 lump sum",10,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Suresh Dani's Classes,"
Mumbai ","₹ 6,000 - 10,000 ",11,"['Java', 'MS-Office', 'Python', 'MS-PowerPoint', 'SQL', 'MS SQL Server', 'MS-Excel']",Actively hiring
Parallel Learning,"
Pimpri-Chinchwad ","₹ 15,000 - 20,000 ",12,"['HTML', 'JavaScript', 'Deluge']",Actively hiring
Clientcarex AI Private Limited,"
Hyderabad ","₹ 15,000 - 20,000 ",13,"['Negotiation', 'Salesforce', 'Market Analysis', 'Sales Management', 'Sales Support', 'Sales', 'Marketing']",Actively hiring
Siddhatek LLC,"
Kanpur Dehat                                                                (Hybrid)
                                        


","₹ 10,000 - 20,000 ",14,"['Java', 'MySQL', 'Python', 'Git', 'PostgreSQL', 'Microsoft Azure', 'React Native']",Actively hiring
Energy Alternatives India,"
Chennai ","₹ 15,000 - 20,000 ",15,"['Blogging', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Video Editing', 'Digital Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)']",Actively hiring
Bottomline Media Private Limited,"
Mumbai, Bandra ","₹ 10,000 - 15,000 ",16,"['MS-PowerPoint', 'Canva', 'Research and Analytics']",Actively hiring
MonkSays Superfoods Private Limited,"
Hyderabad ","₹ 14,000 - 16,000 ",17,"['Social Media Marketing', 'Digital Marketing', 'Creative Writing', 'Telugu Proficiency (Written)', 'Telugu Proficiency (Spoken)']",Actively hiring
Educase India,"
Hyderabad ","₹ 15,000 ",18,"['English Proficiency (Spoken)', 'Sales', 'Effective Communication']",Actively hiring
MOI Technology,"
Hyderabad                                                                (Hybrid)
                                        


","₹ 15,000 - 20,000 ",19,"['Social Media Marketing', 'Adobe Photoshop', 'Adobe Illustrator', 'Video Editing', 'Canva', 'Figma', 'MidJourney (GenAI)']",Actively hiring
Skillife Academy,"
Mumbai ","₹ 10,000 - 12,000 ",20,"['Social Media Marketing', 'Leadership', 'Time Management', 'Research and Analytics', 'Effective Communication', 'Self-learning']",Actively hiring
Aura Publishing,"
Mumbai ","₹ 8,000 ",21,"['Adobe Photoshop', 'Adobe Illustrator', 'Video Editing', 'Adobe Premiere Pro']",Actively hiring
Tring,"
Navi Mumbai, Mumbai ","₹ 11,000 - 15,000 ",22,"['Digital Marketing', 'Client Interaction', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Marketing Campaigns', 'Effective Communication']",Actively hiring
Talent Corner HR Services,"
Mumbai ","₹ 15,000 lump sum",23,"['Social Media Marketing', 'Creative Writing', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Mitul S. Jogani & Associates,"
Mumbai ","₹ 6,000 - 40,000 ",24,"['MS-Office', 'MS-Word', 'Accounting', 'Tally', 'MS-Excel']",Actively hiring
Talent Corner HR Services,"
Mumbai ","₹ 15,000 lump sum",25,"['HTML', 'Attention to Detail', 'Search Engine Optimization (SEO)', 'Multitasking', 'Analytical Thinking', 'Problem Solving', 'Report Generation']",Actively hiring
Talent Corner HR Services,"
Mumbai ","₹ 30,000 lump sum",26,"['Search Engine Marketing (SEM)', 'Attention to Detail', 'Google AdWords', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Talent Corner HR Services,"
Mumbai ","₹ 15,000 lump sum",27,"['Networking', 'Client Interaction', 'Client Relationship', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Talent Corner HR Services,"
Mumbai ","₹ 15,000 lump sum",28,"['Creative Thinking', 'Creative Writing', 'Problem Solving', 'Design Thinking', 'Interpersonal skills', 'Marketing', 'Effective Communication']",Actively hiring
KathaVersse Media Network Private Limited,"
Mumbai ","₹ 9,000 - 10,000 ",29,"['Adobe Photoshop', 'Video Editing', 'Adobe Premiere Pro', 'Video Making', 'English Proficiency (Spoken)']",Actively hiring
Scalar Tech Media,"
Mumbai ","₹ 8,000 - 15,000 ",30,"['Social Media Marketing', 'Branding', 'Digital Marketing', 'Creative Writing', 'Client Relationship Management (CRM)', 'Content Marketing', 'English Proficiency (Spoken)']",Actively hiring
Tring,"
Mumbai ","₹ 11,000 - 15,000 ",31,"['Social Media Marketing', 'Creative Thinking', 'Copywriting', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Creative Direction', 'Content Editing']",Actively hiring
Playpro360,"
Bangalore                                                                (Hybrid)
                                        


","₹ 5,000 - 5,001 ",32,"['Lead Generation', 'Sports', 'Cricket', 'Sales Support', 'Field Sales']",Actively hiring
ZILO Services Private Limited,"
Mumbai ","₹ 10,000 - 15,000 ",33,"['Adobe Photoshop', 'CorelDRAW', 'Video Editing', 'Adobe Creative Suite', 'Adobe InDesign']",Actively hiring
Shake My Social,"
Thane                                                                (Hybrid)
                                        


","₹ 5,000 - 10,000 ",34,"['Social Media Marketing', 'Content Writing', 'Digital Marketing', 'Facebook Marketing', 'Creative Writing', 'Instagram Marketing']",Actively hiring
GetUSCart,"
Hyderabad                                                                (Hybrid)
                                        


","₹ 10,000 - 30,000 ",35,"['Video Editing', 'Video Making']",Actively hiring
Mobavenue Media Private Limited,"
Mumbai ","₹ 10,000 - 15,000 ",36,"['Social Media Marketing', 'Creative Writing', 'Public Relations', 'English Proficiency (Written)']",Actively hiring
NAINA  TOOR,"
Mumbai ","₹ 8,000 - 15,000 ",37,"['Social Media Marketing', 'Creative Thinking', 'Canva', 'Effective Communication']",Actively hiring
Explorers Private Limited,"
Hyderabad                                                                (Hybrid)
                                        


","₹ 2,000 - 4,000 ",38,"['MS-Office', 'Event Management', 'MS-PowerPoint', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)']",Actively hiring
Talent Corner HR Services,"
Pune ","₹ 5,000 ",39,"['Inside Sales', 'Business Development', 'Sales', 'Effective Communication']",Actively hiring
Ace 360,"
Mumbai ","₹ 5,000 - 15,000 ",0,"['Java', 'Node.js', 'React', 'Flutter', 'REST API', 'React Native', 'iOS']",Actively hiring
Neuralbits Technologies Private Limited,"
Mumbai ","₹ 8,000 - 10,000 ",1,"['Java', 'XML', 'Git', 'UI & UX Design', 'REST API', 'Android', 'Kotlin']",Actively hiring
Aawas Yojana,"
Dehradun ","₹ 6,000 - 10,000 ",2,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Rahnee,"
Mumbai                                                                (Hybrid)
                                        


","₹ 6,000 - 8,000 ",3,"['Social Media Marketing', 'Digital Marketing', 'Email Marketing', 'Canva']",Actively hiring
Snapbot - Studio Cahaya,"
Hyderabad ","₹ 5,000 - 10,000 ",4,"['MS-Office', 'Client Relationship Management (CRM)', 'Sales']",Actively hiring
Snapbot - Studio Cahaya,"
Hyderabad ","₹ 5,000 - 10,000 ",5,"['Event Management', 'Adobe Photoshop', 'Photography', 'Adobe After Effects', 'Adobe Photoshop Lightroom CC']",Actively hiring
PadosiAgent ServTech Pvt Ltd,"
Ahmedabad ","₹ 3,000 - 10,000 ",6,"['Creativity', 'Video Editing', 'Attention to Detail', 'Time Management', 'Audio Editing', 'Data Visualization']",Actively hiring
Lingo Chaps Translation Services,"
Dehradun ","₹ 6,000 - 12,000 ",7,"['WordPress', 'MS-Word', 'Search Engine Optimization (SEO)', 'Creative Writing', 'Web development', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Event Planet,"
Lucknow ","₹ 5,000 - 7,000 ",8,"['MS-Office', 'Interpersonal skills', 'Effective Communication']",Actively hiring
ENGLISH CONNECTION EDTECH PRIVATE LIMITED,"
Panchkula ","₹ 9,000 - 17,000 ",9,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']",Actively hiring
Digital Fox Solutions,"
Indore ","₹ 3,000 - 5,000 ",10,['English Proficiency (Written)'],Actively hiring
Ziegler Aerospace,"
Hyderabad ","₹ 8,000 ",11,"['MS-Office', 'MS-Word', 'Attention to Detail', 'Time Management', 'MS-Excel', 'English Proficiency (Spoken)', 'Google Workspace']",Actively hiring
CollegeReviewz.com,"
Kolkata ","₹ 7,000 - 12,000 ",12,"['Social Media Marketing', 'Digital Marketing', 'Email Marketing', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Clientcarex AI Private Limited,"
Hyderabad ","₹ 12,000 ",13,"['Video Editing', 'Adobe Premiere Pro', 'Video Making']",Actively hiring
Fortuna Enterprise,"
Vadodara ","₹ 2,500 - 5,000 ",14,"['Social Media Marketing', 'Digital Marketing', 'Email Marketing', 'MS-Excel', 'English Proficiency (Written)', 'Effective Communication']",Actively hiring
